연수명,연수시간,연수주제,후기 수,좋아요 수가격,
"최태성-이윤석의 역사저널 그날, 조선편",30시간,교과지도,797,214,"60,000원"
내일이 두렵지 않은 준비된 교사 되기,30시간,학습지도,127,182,"60,000원"
인성과 창의성을 길러주는 그림책 감성교육(종합),30시간,생활지도,406,512,"60,000원"
교사 예술愛 빠지다: 명화와 명곡 이야기,60시간,인문·교양,610,576,"110,000원"
요리로 떠나는 문화 여행 - 요리인류 키친,30시간,인문·교양,398,282,"60,000원"
"이야기 식물도감, 교과서 속 풀꽃과 나무꽃 이야기",30시간,교과지도,161,151,"60,000원"
"한국인의 밥상, 수업을 담다",30시간,교과지도,50,68,"60,000원"
엔트리와 함께 하는 소프트웨어 교육,30시간,ICT·스마트,110,73,"60,000원"
생각의 틀을 넓히는 인문고전 읽기,30시간,인문·교양,70,172,"60,000원"
"사자성어와 한자시험을 한번에, 일사천리! 한자특강",60시간,자격증,140,107,"110,000원"
오석태와 함께하는 진짜 여행 영어,30시간,어학,388,341,"60,000원"
야나두 기초 영어,45시간,어학,1011,648,"75,000원"
안전교육 필수 가이드,15시간,생활지도,1695,423,"35,000원"
"조승연 작가의 WHY 궁금한 인문, 예술, 사회 이야기",30시간,인문·교양,1372,882,"60,000원"
"인문의 시작, 그리스 로마 신화 Ⅰ",30시간,인문·교양,131,159,"60,000원"
"질문과 대화의 학생 중심 수업, 학습대화",30시간,학습지도,303,330,"60,000원"
통합교육의 이해와 실제 : 아름다운 소통을 위한 만남,60시간,학습지도,37,41,"110,000원"
참쌤의 그림으로 꾸미는 즐거운 교실,15시간,학습지도,55,137,"35,000원"
택쌤의 마술로 열리는 놀라운 수업,15시간,교과지도,27,47,"35,000원"
바로 통하는 생활 영어!,30시간,어학,62,78,"60,000원"
최훈락 피아니스트의 Touch Classic,30시간,인문·교양,155,162,"60,000원"
인문 여행자를 위한 그리스 로마 신화,60시간,인문·교양,171,141,"110,000원"
인성교육 이렇게 해요 - 수업·생활지도 사례,30시간,학습지도,64,101,"60,000원"
인성과 창의성을 길러주는 그림책 감성교육,15시간,생활지도,320,253,"35,000원"
인성교육의 실제! 마음이 자라는 행복교실 만들기,15시간,생활지도,119,100,"35,000원"
"너는 혼자가 아니야, 학생 자살예방 교육",15시간,생활지도,235,64,"35,000원"
"한 조각의 상상력, 명화 속 이야기",30시간,인문·교양,142,238,"60,000원"
지리쌤과 함께하는 우리나라 도시 여행,30시간,교과지도,76,85,"60,000원"
세계의 박물관·미술관 “나에게 말을 걸다”,30시간,인문·교양,107,209,"60,000원"
"창의, 상상, 문제 해결력을 위한 스크래치 알고리즘",30시간,ICT·스마트,26,27,"60,000원"
"위험한 부모와 상처받는 아이, 오은영박사의 희망 만들기",30시간,생활지도,219,325,"60,000원"
우린 교실에서 논다! 허쌤의 참여수업을 위한 교실놀이,30시간,학습지도,100,156,"60,000원"
통합교육의 실제 : 마음을 열어가는 교실 상담,30시간,학습지도,119,88,"60,000원"
보드게임으로 즐거운 수업 행복한 교실,30시간,학습지도,134,192,"60,000원"
위기탈출 넘버원! 교사와 학생을 위한 안전 교육,30시간,생활지도,1463,288,"60,000원"
오은영 박사와 함께하는 우리 아이 마음처방전,30시간,생활지도,342,542,"60,000원"
"최성애 박사의 행복에너지만들기, 회복탄력성",30시간,생활지도,257,107,"60,000원"
영어로 배우는 영어수업 TEE,30시간,교과지도,122,184,"60,000원"
지리쌤과 함께 하는 80일간의 세계일주,30시간,교과지도,340,141,"60,000원"
통합교육의 이해:틀린게 아니라 다른 거야!,30시간,학습지도,120,59,"60,000원"
확 바뀐 한글2010 똑 소리나게 배우기!,30시간,ICT·스마트,117,132,"50,000원"
교사가 꼭 알아야 할 학교안전 가이드 백서,30시간,생활지도,320,111,"60,000원"
"공감과 소통을 위한 사랑의 기술, 감정코칭",30시간,생활지도,1378,222,"50,000원"
앞서가는 선생님의 자격! 파워포인트2010,30시간,ICT·스마트,137,135,"50,000원"
창의력과 상상력을 키우는 체험수학 (초등),30시간,교과지도,125,45,"50,000원"
스마트한 교실을 위한 영재교육비법,30시간,학습지도,227,73,"50,000원"
일본어 초보 탈출! 마법의 300문장,60시간,어학,93,47,"110,000원"
